year,injuries,fatalities,region,count
1970,0,0,North America,2
1972,0,0,North America,1
1973,0,1,North America,6
1974,0,2,North America,16
1975,5,32,North America,10
1976,5,26,North America,20
1977,15,11,North America,19
1978,18,7,North America,30
1979,0,5,North America,10
1980,0,3,North America,5
1981,6,0,North America,3
1982,0,1,North America,3
1983,2,0,North America,2
1984,9,13,North America,4
1985,0,0,North America,1
1986,0,0,North America,2
1987,0,0,North America,1
1988,0,2,North America,3
1989,0,0,North America,1
1990,1,3,North America,5
1991,0,13,North America,10
1992,2,6,North America,6
1994,32,88,North America,42
1995,27,61,North America,29
1996,211,96,North America,75
1997,47,229,North America,95
1998,5,3,North America,2
1999,2,0,North America,1
2000,3,5,North America,4
2001,5,13,North America,7
2003,1,2,North America,1
2004,3,0,North America,1
2005,0,2,North America,1
2006,34,7,North America,7
2007,6,25,North America,10
2008,104,21,North America,8
2009,3,2,North America,1
2010,0,0,North America,5
2011,1,0,North America,2
2012,8,17,North America,16
2013,110,47,North America,8
2014,2,1,North America,5
2015,10,9,North America,19
2016,0,4,North America,5
