id,year,month,day,country,state,city,latitude,longitude,summary,target,weapon,fatalities,injuries
197001010002,1970,1,1,United States,Illinois,Cairo,37.005105,-89.17626899999999,"1/1/1970: Unknown African American assailants fired several bullets at police headquarters in Cairo, Illinois, United States.  There were no casualties, however, one bullet narrowly missed several police officers.  This attack took place during heightened racial tensions, including a Black boycott of White-owned businesses, in Cairo Illinois.",Police,Firearms,0,0
197001020002,1970,1,2,United States,California,Oakland,37.805065,-122.27302399999999,"1/2/1970: Unknown perpetrators detonated explosives at the Pacific Gas & Electric Company Edes substation in Oakland, California, United States.  Three transformers were damaged costing an estimated $20,000 to $25,000.  There were no casualties.",Utilities,Explosives/Bombs/Dynamite,0,0
197001020003,1970,1,2,United States,Wisconsin,Madison,43.076592,-89.412488,"1/2/1970: Karl Armstrong, a member of the New Years Gang, threw a firebomb at R.O.T.C. offices located within the Old Red Gym at the University of Wisconsin in Madison, Wisconsin, United States.  There were no casualties but the fire caused around $60,000 in damages to the building.",Military,Incendiary,0,0
197001030001,1970,1,3,United States,Wisconsin,Madison,43.07295,-89.38669399999999,"1/3/1970: Karl Armstrong, a member of the New Years Gang, broke into the University of Wisconsin's Primate Lab and set a fire on the first floor of the building.  Armstrong intended to set fire to the Madison, Wisconsin, United States, Selective Service Headquarters across the street but mistakenly confused the building with the Primate Lab.  The fire caused slight damages and was extinguished almost immediately.",Government (General),Incendiary,0,0
197001050001,1970,1,1,United States,Wisconsin,Baraboo,43.4685,-89.744299,,Military,Explosives/Bombs/Dynamite,0,0
197001060001,1970,1,6,United States,Colorado,Denver,39.74001,-104.992259,"1/6/1970: Unknown perpetrators threw a Molotov cocktail into an Army Recruiting Station in Denver, Colorado, United States.  There were no casualties but damages to the station were estimated at $305.",Military,Incendiary,0,0
197001090001,1970,1,9,United States,Michigan,Detroit,42.331685,-83.047924,"1/9/1970: Unknown perpetrators set off a firebomb at the Packard Properties building in Detroit, Michigan, United States.  The facility housed federal employees.  The building was damaged but there were no casualties.",Government (General),Incendiary,0,0
197001090002,1970,1,9,United States,Puerto Rico,Rio Piedras,18.399712,-66.049987,"1/9/1970:  The Armed Commandos of Liberation claimed credit for setting a fire at the Baker's Store in Rio Piedras, Puerto Rico.  There were no casualties but the store was destroyed at a cost of $2,000,000.",Business,Incendiary,0,0
197001120001,1970,1,12,United States,New York,New York City,40.610069,-73.947971,"1/12/1970: Unknown perpetrators threw a pipe bomb into the vacant dean's office of James Madison High School in Brooklyn, New York, United States.  There were no casualties but the explosion caused minor damages.  Earlier in the day anti-war and pro-Black Panther statements were discovered painted outside the walls of the school.",Educational Institution,Explosives/Bombs/Dynamite,0,0
197001120002,1970,1,12,United States,Puerto Rico,Rio Grande,18.379998,-65.83094799999999,"1/12/1970: Unknown perpetrators detonated a bomb at a General Electric factory in Rio Grande, Puerto Rico during a strike.  There were no casualties and it is unknown if the factory sustained any damages.",Business,Explosives/Bombs/Dynamite,0,0
