keyword,val
attacks,19.912901137380928
civilians,15.537788213299596
forces,15.36211603478437
mayi,13.252038830654218
people,13.135177599424246
adf,12.193377122817646
least,12.01362550010819
allied,11.741159568729822
unknown,11.408930768691945
abducted,10.833372607808561
reported,10.342865661008029
front,10.123350610551384
incidents,9.953112985489291
injured,9.81595840940102
across,9.62987748604235
casualties,9.627611093289328
militia,9.062577751845236
beni,8.996377278978974
day,8.700820107566258
ituri,8.304360582042039
military,8.264993545706282
resistance,8.007068162184723
area,7.863045888648108
related,7.814188905539838
liberation,7.791112993301454
rwanda,7.791112993301454
fdlr,7.791112993301454
mai,7.720740685763378
date,7.3899292673583545
village,7.325846335809034
near,7.072972571887422
raided,7.066078935240098
hostages,6.768967003721546
nyatura,6.165270703164998
orientale,6.007145426070366
released,6.00225737148658
army,5.990417186358032
province,5.96696024312913
coordinated,5.848681861663166
outcome,5.80071622038203
police,5.766753620782652
number,5.500596870670613
ensuing,5.419172355281978
civilian,5.378885513225648
armed,5.311857610893293
assault,5.284297319370064
security,5.222229271136206
soldiers,5.1319619276704795
patriotic,5.0134163824583915
frpi,5.0134163824583915
lord,4.95376752203755
lra,4.95376752203755
district,4.8672104202540725
abduction,4.618382375628888
fire,4.601547374164738
uele,4.382893014683505
others,4.381267332786351
person,3.8812011080523496
kidnapping,3.818031124686584
soldier,3.73890148766127
opened,3.7109618469915517
villages,3.7080713323093555
missing,3.652856403678134
clash,3.613297199862348
including,3.586405754520336
suspected,3.581297430642355
position,3.377735893535151
wounded,3.3634642370084293
fardc,3.190901121960292
